,batting_team,bowling_team,city_stadium,runs,balls_left,wickets_left,crr,actual,predicted,prob_0,prob_1
19600,Mumbai Indians,Rajasthan Royals,Jaipur - Sawai Mansingh Stadium,12,4,10,0.6206896551724138,1,0,0.93,0.07
20113,Rajasthan Royals,Royal Challengers Bangalore,Jaipur - Sawai Mansingh Stadium,11,104,8,4.125,0,1,0.4683333333333334,0.5316666666666667
20127,Rajasthan Royals,Royal Challengers Bangalore,Jaipur - Sawai Mansingh Stadium,18,103,8,6.352941176470588,0,1,0.13,0.87
20129,Rajasthan Royals,Royal Challengers Bangalore,Jaipur - Sawai Mansingh Stadium,22,101,8,6.947368421052632,0,1,0.37,0.63
20131,Rajasthan Royals,Royal Challengers Bangalore,Jaipur - Sawai Mansingh Stadium,22,99,7,6.285714285714286,0,1,0.17,0.83
20227,Chennai Super Kings,Delhi Capitals,"Chennai - MA Chidambaram Stadium, Chepauk",3,119,10,18.0,0,1,0.1075,0.8925
20236,Chennai Super Kings,Delhi Capitals,"Chennai - MA Chidambaram Stadium, Chepauk",8,115,8,9.6,0,1,0.45733333333333337,0.5426666666666666
20240,Chennai Super Kings,Delhi Capitals,"Chennai - MA Chidambaram Stadium, Chepauk",14,112,8,10.5,0,1,0.39,0.61
20251,Chennai Super Kings,Delhi Capitals,"Chennai - MA Chidambaram Stadium, Chepauk",28,89,7,5.419354838709677,0,1,0.255,0.7449999999999999
20253,Chennai Super Kings,Delhi Capitals,"Chennai - MA Chidambaram Stadium, Chepauk",28,87,7,5.090909090909091,0,1,0.19083333333333335,0.8091666666666666
20274,Chennai Super Kings,Delhi Capitals,"Chennai - MA Chidambaram Stadium, Chepauk",44,66,6,4.888888888888889,0,1,0.35,0.65
20331,Chennai Super Kings,Delhi Capitals,"Chennai - MA Chidambaram Stadium, Chepauk",102,40,3,7.6499999999999995,0,1,0.22,0.78
20864,Sunrisers Hyderabad,Delhi Capitals,Delhi - Arun Jaitley Cricket Stadium,22,98,10,6.0,1,0,0.64,0.36
